product_id,product_name,Manufacturer,Product_group_name,Product_group_code,Товарная группа 2,model_name,current_stock
206,Трактор John Deere 9510RT [510hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9510RT [510hp],3
207,Трактор John Deere 9520RT [520hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9520RT [520hp],1
208,Трактор John Deere 9520RX [520hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9520RX [520hp],0
209,Трактор John Deere 9530T [491hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9530T [491hp],2
210,Трактор John Deere 9570R [570hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9570R [570hp],3
211,Трактор John Deere 9570RT [570hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9570RT [570hp],3
212,Зерноуборочный комбайн John Deere 9570 STS [265hp] (Combine rotary; Class V),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-9570 STS [265hp],3
213,Зерноуборочный комбайн John Deere 9670 STS [305hp] (Combine rotary; Class VI),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-9670 STS [305hp],1
214,Зерноуборочный комбайн John Deere 9870 STS [440hp] (Combine rotary; Class VIII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-9870 STS [440hp],0
215,Зерноуборочный комбайн John Deere S550 [290hp] (Combine rotary; Class VI),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S550 [290hp],0
216,Зерноуборочный комбайн John Deere S660 [343hp] (Combine rotary; Class VII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S660 [343hp],2
217,Зерноуборочный комбайн John Deere S670 [373hp] (Combine rotary; Class VII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S670 [373hp],3
218,Зерноуборочный комбайн John Deere S680 [507hp] (Combine rotary; Class IX),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S680 [507hp],1
219,Зерноуборочный комбайн John Deere S690 [551hp] (Combine rotary; Class IX),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S690 [551hp],3
